44.4348 	DATA 	Keypress: right
44.4482 	EXP 	fixation: autoDraw = False
44.4482 	EXP 	grating: autoDraw = False
44.4482 	EXP 	grating: ori = 20.0
44.4482 	EXP 	fixation: autoDraw = True
44.7840 	DATA 	Keypress: right
44.9327 	EXP 	grating: autoDraw = True
44.9489 	EXP 	fixation: autoDraw = False
45.1690 	DATA 	Keypress: right
45.1816 	EXP 	fixation: autoDraw = False
45.1816 	EXP 	grating: autoDraw = False
45.1816 	EXP 	grating: ori = 20.0
45.1816 	EXP 	fixation: autoDraw = True
45.5182 	DATA 	Keypress: right
45.6820 	EXP 	fixation: autoDraw = False
45.6820 	EXP 	grating: autoDraw = True
45.9011 	DATA 	Keypress: right
45.9151 	EXP 	fixation: autoDraw = False
45.9151 	EXP 	grating: autoDraw = False
45.9151 	EXP 	grating: ori = 20.0
45.9151 	EXP 	fixation: autoDraw = True
46.2509 	DATA 	Keypress: right
46.4152 	EXP 	fixation: autoDraw = False
46.4152 	EXP 	grating: autoDraw = True
46.6393 	DATA 	Keypress: right
46.6456 	EXP 	fixation: autoDraw = False
46.6456 	EXP 	grating: autoDraw = False
46.6456 	EXP 	grating: ori = 19.5
46.6456 	EXP 	fixation: autoDraw = True
47.0496 	DATA 	Keypress: right
47.1478 	EXP 	fixation: autoDraw = False
47.1478 	EXP 	grating: autoDraw = True
47.4478 	EXP 	grating: autoDraw = False
47.4998 	DATA 	Keypress: right
47.5140 	EXP 	fixation: autoDraw = False
47.5140 	EXP 	grating: autoDraw = False
47.5140 	EXP 	grating: ori = 19.5
47.5140 	EXP 	fixation: autoDraw = True
47.9828 	DATA 	Keypress: right
48.0144 	EXP 	fixation: autoDraw = False
48.0144 	EXP 	grating: autoDraw = True
48.3139 	EXP 	grating: autoDraw = False
48.7340 	DATA 	Keypress: right
48.7473 	EXP 	fixation: autoDraw = False
48.7473 	EXP 	grating: autoDraw = False
48.7473 	EXP 	grating: ori = 19.5
48.7473 	EXP 	fixation: autoDraw = True
49.1157 	DATA 	Keypress: right
49.2477 	EXP 	fixation: autoDraw = False
49.2477 	EXP 	grating: autoDraw = True
49.5476 	EXP 	grating: autoDraw = False
49.7988 	DATA 	Keypress: right
49.8131 	EXP 	fixation: autoDraw = False
49.8131 	EXP 	grating: autoDraw = False
49.8131 	EXP 	grating: ori = -19.0
49.8131 	EXP 	fixation: autoDraw = True
